iter,lambda,winChanceThreshold,territoryfeatureweight,alpha,statevalue,randomchancethreshold,hinterlandfeatureweight,bestenemyfeatureweight,armiesfeatureweight,enemyreinforcementfeatureweight
99,0.5,0.5,-0.9081844826433082,0.05,1.7351774669219147,0.2,-0.09406775828433038,-0.19860726774209383,0.3818422707152317,0.19909423200187612
100,0.5,0.5,-0.9081844826433082,0.05,1.7351774669219147,0.2,-0.09406775828433038,-0.19860726774209383,0.3818422707152317,0.19909423200187612
101,0.5,0.5,-0.9086960938940017,0.05,1.681371911960221,0.2,-0.09408445900582056,-0.19803865371192544,0.38132471933041745,0.19146458210900022
102,0.5,0.5,-0.9086960938940017,0.05,1.681371911960221,0.2,-0.09408445900582056,-0.19803865371192544,0.38132471933041745,0.19146458210900022
103,0.5,0.5,-0.9095344179978946,0.05,1.5502412821563865,0.2,-0.09410555706418694,-0.19694483392696166,0.38047171747561426,0.17700872141992657
104,0.5,0.5,-0.9095344179978946,0.05,1.5502412821563865,0.2,-0.09410555706418694,-0.19694483392696166,0.38047171747561426,0.17700872141992657
105,0.5,0.5,-0.9100293138702977,0.05,1.4883621293067066,0.2,-0.09412206262685648,-0.1964298852802693,0.37997278218931846,0.1702892889770759
106,0.5,0.5,-0.9100293138702977,0.05,1.4883621293067066,0.2,-0.09412206262685648,-0.1964298852802693,0.37997278218931846,0.1702892889770759
107,0.5,0.5,-0.9100293138702977,0.05,1.5106351027184577,0.2,-0.09412206262685648,-0.1964298852802693,0.37997278218931846,0.1702892889770759
108,0.5,0.5,-0.9100293138702977,0.05,1.5106351027184577,0.2,-0.09412206262685648,-0.1964298852802693,0.37997278218931846,0.1702892889770759
109,0.5,0.5,-0.9107243593952499,0.05,1.3911803818098343,0.2,-0.09413992065781185,-0.19550798004715045,0.3792698823442018,0.15771915441189982
110,0.5,0.5,-0.9107243593952499,0.05,1.3911803818098343,0.2,-0.09413992065781185,-0.19550798004715045,0.3792698823442018,0.15771915441189982
111,0.5,0.5,-0.9107243593952499,0.05,1.5715768559845484,0.2,-0.09413992065781185,-0.19550798004715045,0.3792698823442018,0.15771915441189982
112,0.5,0.5,-0.9107243593952499,0.05,1.5715768559845484,0.2,-0.09413992065781185,-0.19550798004715045,0.3792698823442018,0.15771915441189982
113,0.5,0.5,-0.9110413863653071,0.05,1.3354599401816956,0.2,-0.094148394196005,-0.1950974926612387,0.3789477858387742,0.15195648774209394
114,0.5,0.5,-0.9110413863653071,0.05,1.3354599401816956,0.2,-0.094148394196005,-0.1950974926612387,0.3789477858387742,0.15195648774209394
115,0.5,0.5,-0.9110413863653071,0.05,1.5108407596628257,0.2,-0.094148394196005,-0.1950974926612387,0.3789477858387742,0.15195648774209394
116,0.5,0.5,-0.9110413863653071,0.05,1.5108407596628257,0.2,-0.094148394196005,-0.1950974926612387,0.3789477858387742,0.15195648774209394
117,0.5,0.5,-0.9115833982369898,0.05,1.2367644837308596,0.2,-0.09416028088707892,-0.1943036013710575,0.3784006756392905,0.14104154168655744
118,0.5,0.5,-0.9115833982369898,0.05,1.2367644837308596,0.2,-0.09416028088707892,-0.1943036013710575,0.3784006756392905,0.14104154168655744
119,0.5,0.5,-0.9115833982369898,0.05,1.4001805017003708,0.2,-0.09416028088707892,-0.1943036013710575,0.3784006756392905,0.14104154168655744
120,0.5,0.5,-0.9115833982369898,0.05,1.4001805017003708,0.2,-0.09416028088707892,-0.1943036013710575,0.3784006756392905,0.14104154168655744
121,0.5,0.5,-0.9119409877711678,0.05,1.338981664305333,0.2,-0.09417728316404717,-0.19388712302583666,0.3780400442309727,0.13545824454400335
122,0.5,0.5,-0.9119409877711678,0.05,1.338981664305333,0.2,-0.09417728316404717,-0.19388712302583666,0.3780400442309727,0.13545824454400335
123,0.5,0.5,-0.9123133833490676,0.05,1.3033000335144933,0.2,-0.09420929824012284,-0.19347009598255024,0.37766103956992225,0.12997854813013326
124,0.5,0.5,-0.9123133833490676,0.05,1.3033000335144933,0.2,-0.09420929824012284,-0.19347009598255024,0.37766103956992225,0.12997854813013326
125,0.5,0.5,-0.9126378734817595,0.05,1.2504065663735642,0.2,-0.09423689412550933,-0.19307229619651275,0.3773309429216325,0.12477090799781754
126,0.5,0.5,-0.9126378734817595,0.05,1.2504065663735642,0.2,-0.09423689412550933,-0.19307229619651275,0.3773309429216325,0.12477090799781754
127,0.5,0.5,-0.9126378734817595,0.05,1.2725191650703664,0.2,-0.09423689412550933,-0.19307229619651275,0.3773309429216325,0.12477090799781754
128,0.5,0.5,-0.9126378734817595,0.05,1.2725191650703664,0.2,-0.09423689412550933,-0.19307229619651275,0.3773309429216325,0.12477090799781754
129,0.5,0.5,-0.9129358318324206,0.05,1.2164354252883705,0.2,-0.09426257863761504,-0.19271635985433327,0.3770298426568175,0.11983862100917125
130,0.5,0.5,-0.9129358318324206,0.05,1.2164354252883705,0.2,-0.09426257863761504,-0.19271635985433327,0.3770298426568175,0.11983862100917125
131,0.5,0.5,-0.9129358318324206,0.05,1.3580176113686575,0.2,-0.09426257863761504,-0.19271635985433327,0.3770298426568175,0.11983862100917125
132,0.5,0.5,-0.9129358318324206,0.05,1.3580176113686575,0.2,-0.09426257863761504,-0.19271635985433327,0.3770298426568175,0.11983862100917125
133,0.5,0.5,-0.9129358318324206,0.05,1.3729935900556238,0.2,-0.09426257863761504,-0.19271635985433327,0.3770298426568175,0.11983862100917125
134,0.5,0.5,-0.9129358318324206,0.05,1.3729935900556238,0.2,-0.09426257863761504,-0.19271635985433327,0.3770298426568175,0.11983862100917125
135,0.5,0.5,-0.913299050540841,0.05,1.329480188852539,0.2,-0.0943561882808729,-0.19233242313255566,0.3766634312865024,0.11448223765370844
136,0.5,0.5,-0.913299050540841,0.05,1.329480188852539,0.2,-0.0943561882808729,-0.19233242313255566,0.3766634312865024,0.11448223765370844
137,0.5,0.5,-0.913299050540841,0.05,1.4664457220808824,0.2,-0.0943561882808729,-0.19233242313255566,0.3766634312865024,0.11448223765370844
138,0.5,0.5,-0.913299050540841,0.05,1.4664457220808824,0.2,-0.0943561882808729,-0.19233242313255566,0.3766634312865024,0.11448223765370844
139,0.5,0.5,-0.913299050540841,0.05,3.6056075427776766,0.2,-0.0943561882808729,-0.19233242313255566,0.3766634312865024,0.11448223765370844
140,0.5,0.5,-0.913299050540841,0.05,3.6056075427776766,0.2,-0.0943561882808729,-0.19233242313255566,0.3766634312865024,0.11448223765370844
141,0.5,0.5,-0.8497160312227697,0.05,-2.3858039076422615,0.2,0.8243819106649428,-0.5526366164906076,-0.06488302401092053,-0.3662367753236769
142,0.5,0.5,-0.8497160312227697,0.05,-2.3858039076422615,0.2,0.8243819106649428,-0.5526366164906076,-0.06488302401092053,-0.3662367753236769
143,0.5,0.5,-0.8481023421778093,0.05,-2.5148751606481135,0.2,0.8245681448365346,-0.5542351096504833,-0.06319953326050753,-0.344318381560878
144,0.5,0.5,-0.8481023421778093,0.05,-2.5148751606481135,0.2,0.8245681448365346,-0.5542351096504833,-0.06319953326050753,-0.344318381560878
145,0.5,0.5,-0.8481023421778093,0.05,-2.513936354887877,0.2,0.8245681448365346,-0.5542351096504833,-0.06319953326050753,-0.344318381560878
146,0.5,0.5,-0.8481023421778093,0.05,-2.513936354887877,0.2,0.8245681448365346,-0.5542351096504833,-0.06319953326050753,-0.344318381560878
147,0.5,0.5,-0.8481023421778093,0.05,-2.5132135575326506,0.2,0.8245681448365346,-0.5542351096504833,-0.06319953326050753,-0.344318381560878
148,0.5,0.5,-0.8481023421778093,0.05,-2.5132135575326506,0.2,0.8245681448365346,-0.5542351096504833,-0.06319953326050753,-0.344318381560878
149,0.5,0.5,-0.8481023421778093,0.05,-2.5126399088380267,0.2,0.8245681448365346,-0.5542351096504833,-0.06319953326050753,-0.344318381560878
150,0.5,0.5,-0.8481023421778093,0.05,-2.5126399088380267,0.2,0.8245681448365346,-0.5542351096504833,-0.06319953326050753,-0.344318381560878
151,0.5,0.5,-0.8481023421778093,0.05,-2.7319246995311466,0.2,0.8245681448365346,-0.5542351096504833,-0.06319953326050753,-0.344318381560878
152,0.5,0.5,-0.8481023421778093,0.05,-2.7319246995311466,0.2,0.8245681448365346,-0.5542351096504833,-0.06319953326050753,-0.344318381560878
153,0.5,0.5,-0.8481023421778093,0.05,-3.373891631593467,0.2,0.8245681448365346,-0.5542351096504833,-0.06319953326050753,-0.344318381560878
154,0.5,0.5,-0.8481023421778093,0.05,-3.373891631593467,0.2,0.8245681448365346,-0.5542351096504833,-0.06319953326050753,-0.344318381560878
155,0.5,0.5,-0.8481023421778093,0.05,-5.376327814952013,0.2,0.8245681448365346,-0.5542351096504833,-0.06319953326050753,-0.344318381560878
156,0.5,0.5,-0.8481023421778093,0.05,-5.376327814952013,0.2,0.8245681448365346,-0.5542351096504833,-0.06319953326050753,-0.344318381560878
157,0.5,0.5,-0.8481023421778093,0.05,-5.869625067419471,0.2,0.8245681448365346,-0.5542351096504833,-0.06319953326050753,-0.344318381560878
158,0.5,0.5,-0.8481023421778093,0.05,-5.869625067419471,0.2,0.8245681448365346,-0.5542351096504833,-0.06319953326050753,-0.344318381560878
159,0.5,0.5,-0.8481023421778093,0.05,-6.113540689979999,0.2,0.8245681448365346,-0.5542351096504833,-0.06319953326050753,-0.344318381560878
160,0.5,0.5,-0.8481023421778093,0.05,-6.113540689979999,0.2,0.8245681448365346,-0.5542351096504833,-0.06319953326050753,-0.344318381560878
161,0.5,0.5,-0.48860300228682507,0.05,6.170488972237412,0.2,0.7534442226178579,-0.7094463259857204,0.9242308934457837,0.7913089052592106
162,0.5,0.5,-0.48860300228682507,0.05,6.170488972237412,0.2,0.7534442226178579,-0.7094463259857204,0.9242308934457837,0.7913089052592106
163,0.5,0.5,-0.4945066398988235,0.05,5.736424406324715,0.2,0.751648211258285,-0.7037143852645336,0.9178747533755969,0.7129150420062458
164,0.5,0.5,-0.4945066398988235,0.05,5.736424406324715,0.2,0.751648211258285,-0.7037143852645336,0.9178747533755969,0.7129150420062458
165,0.5,0.5,-0.4945066398988235,0.05,5.713798512103539,0.2,0.751648211258285,-0.7037143852645336,0.9178747533755969,0.7129150420062458
166,0.5,0.5,-0.4945066398988235,0.05,5.713798512103539,0.2,0.751648211258285,-0.7037143852645336,0.9178747533755969,0.7129150420062458
167,0.5,0.5,-0.49728024003216903,0.05,5.501620149844564,0.2,0.7502881010206292,-0.7009473101072827,0.9149788885814607,0.6762463330694156
168,0.5,0.5,-0.49728024003216903,0.05,5.501620149844564,0.2,0.7502881010206292,-0.7009473101072827,0.9149788885814607,0.6762463330694156
169,0.5,0.5,-0.5022057063762616,0.05,5.058980943522379,0.2,0.7480048003464843,-0.6959968755344512,0.9095417862095889,0.6084321666069024
170,0.5,0.5,-0.5022057063762616,0.05,5.058980943522379,0.2,0.7480048003464843,-0.6959968755344512,0.9095417862095889,0.6084321666069024
171,0.5,0.5,-0.5045445461665314,0.05,4.841165972769769,0.2,0.7469243158221149,-0.6937049133804697,0.9070429434089724,0.5772527852916667
172,0.5,0.5,-0.5045445461665314,0.05,4.841165972769769,0.2,0.7469243158221149,-0.6937049133804697,0.9070429434089724,0.5772527852916667
173,0.5,0.5,-0.5156188051925313,0.05,3.7651857930842745,0.2,0.7420020764001785,-0.6835186290861311,0.893202671521436,0.4219486089626561
174,0.5,0.5,-0.5156188051925313,0.05,3.7651857930842745,0.2,0.7420020764001785,-0.6835186290861311,0.893202671521436,0.4219486089626561
175,0.5,0.5,-0.5172357344377749,0.05,3.6793730894716905,0.2,0.7410994552121086,-0.6819697755248447,0.8913695837022797,0.3998525138720346
176,0.5,0.5,-0.5172357344377749,0.05,3.6793730894716905,0.2,0.7410994552121086,-0.6819697755248447,0.8913695837022797,0.3998525138720346
177,0.5,0.5,-0.5187943531633579,0.05,3.54527294010093,0.2,0.7400871173405115,-0.6804504029546325,0.8896524780949101,0.3785906603112565
178,0.5,0.5,-0.5187943531633579,0.05,3.54527294010093,0.2,0.7400871173405115,-0.6804504029546325,0.8896524780949101,0.3785906603112565
179,0.5,0.5,-0.5187943531633579,0.05,3.5426383237894767,0.2,0.7400871173405115,-0.6804504029546325,0.8896524780949101,0.3785906603112565
